i,time (ns)
1,2725187
2,2610467
3,2701132
4,2337951
5,2360044
6,2326470
7,2347210
8,2305804
9,2345804
10,2355025
11,2368229
12,2315952
13,2354544
14,2337192
15,2335415
16,2388506
17,2348044
18,2362099
19,2350804
20,2383025
21,2349229
22,2361137
23,2349748
24,2355803
25,2336729
26,2404784
27,2333192
28,2387062
29,2368433
30,2339155
31,2373507
32,2385488
33,2332508
34,2372414
35,2348729
36,2352581
37,2420746
38,2348303
39,2321008
40,2339693
41,2408821
42,2739446
43,2384877
44,2361155
45,2375044
46,2354414
47,18278118
48,2312285
49,2399822
50,2362674
51,2344581
52,2363914
53,2378322
54,2327451
55,2386822
56,2360062
57,2344544
58,2571800
59,2397711
60,2550320
61,2297934
62,2322211
63,2504431
64,2399284
65,2401210
66,2383340
67,2428229
68,2399988
69,2421877
70,2412062
71,2348562
72,2427839
73,2379321
74,2398395
75,2407599
76,2358433
77,2338025
78,2420247
79,2383525
80,2378229
81,2399081
82,2390228
83,2340988
84,2454951
85,2382914
86,2357414
87,2385451
88,2442709
89,2353637
90,2440043
91,2404580
92,2329563
93,2393266
94,2410710
95,2407525
96,2348748
97,2428487
98,2358933
99,2443821
100,2386617
101,2399137
102,2402247
103,2427710
104,2363951
105,2417636
106,2404543
107,2391507
108,2383544
109,2429747
110,2366099
111,2462821
112,2388877
113,2353747
114,2412599
115,2430340
116,2388358
117,2398803
118,2416266
119,2343988
120,2435932
121,2418210
122,2397599
123,2428636
124,2435506
125,2353359
126,2461654
127,2418469
128,2361729
129,2421783
130,2431766
131,2345859
132,2448376
133,2402895
134,2375081
135,2406599
136,2433617
137,2356693
138,2468006
139,2400155
140,2344433
141,2493783
142,2412599
143,2387136
144,2403377
145,2433376
146,2365896
147,2584597
148,2390414
149,2396007
150,2427766
151,2427136
152,2371599
153,2445080
154,2403784
155,2398580
156,2387340
157,2435673
158,2359322
159,2427025
160,2397599
161,2439599
162,2402025
163,2422155
164,2442283
165,2418673
166,2262082
167,2349063
168,2301248
169,2254045
170,2201953
171,2275786
172,2466413
173,2364488
174,2634188
175,2415173
176,2409932
177,2474246
178,2313600
179,2110418
180,2149621
181,2465617
182,2302618
