cycle,sec,last,dt,sdt
000000,1.019123,1.010589,0.008534,0.008333
000001,1.02762,1.019123,0.008497,0.008333
000002,1.036036,1.02762,0.008416,0.008333
000003,1.044446,1.036036,0.00841,0.008333
000004,1.05285,1.044446,0.008404,0.008333
000005,1.061259,1.05285,0.008409,0.008333
000006,1.069665,1.061259,0.008406,0.008333
000007,1.078078,1.069665,0.008413,0.008333
000008,1.086481,1.078078,0.008403,0.008333
000009,1.094888,1.086481,0.008407,0.008333
000010,1.103299,1.094888,0.00841,0.008333
000011,1.111707,1.103299,0.008408,0.008333
000012,1.120114,1.111707,0.008407,0.008333
000013,1.128539,1.120114,0.008425,0.008333
000014,1.136963,1.128539,0.008424,0.008333
000015,1.145377,1.136963,0.008415,0.008333
000016,1.15379,1.145377,0.008413,0.008333
000017,1.162205,1.15379,0.008415,0.008333
000018,1.17063,1.162205,0.008425,0.008333
000019,1.179052,1.17063,0.008422,0.008333
000020,1.187473,1.179052,0.008421,0.008333
000021,1.195888,1.187473,0.008415,0.008333
000022,1.2043,1.195888,0.008412,0.008333
000023,1.212711,1.2043,0.008411,0.008333
000024,1.221133,1.212711,0.008422,0.008333
000025,1.229565,1.221133,0.008433,0.008333
000026,1.23798,1.229565,0.008415,0.008333
000027,1.246389,1.23798,0.008409,0.008333
000028,1.254804,1.246389,0.008415,0.008333
000029,1.263215,1.254804,0.00841,0.008333
000030,1.271631,1.263215,0.008416,0.008333
000031,1.280056,1.271631,0.008425,0.008333
000032,1.288473,1.280056,0.008418,0.008333
000033,1.296881,1.288473,0.008408,0.008333
000034,1.305294,1.296881,0.008413,0.008333
000035,1.313714,1.305294,0.00842,0.008333
000036,1.322127,1.313714,0.008414,0.008333
000037,1.330558,1.322127,0.00843,0.008333
000038,1.338975,1.330558,0.008418,0.008333
000039,1.347386,1.338975,0.00841,0.008333
000040,1.355793,1.347386,0.008407,0.008333
000041,1.364202,1.355793,0.008409,0.008333
000042,1.372619,1.364202,0.008417,0.008333
000043,1.381043,1.372619,0.008424,0.008333
000044,1.389455,1.381043,0.008413,0.008333
000045,1.397869,1.389455,0.008414,0.008333
000046,1.406279,1.397869,0.00841,0.008333
000047,1.414691,1.406279,0.008412,0.008333
000048,1.4231,1.414691,0.00841,0.008333
000049,1.431534,1.4231,0.008434,0.008333
000050,1.439952,1.431534,0.008418,0.008333
000051,1.448362,1.439952,0.00841,0.008333
000052,1.456772,1.448362,0.00841,0.008333
000053,1.465188,1.456772,0.008416,0.008333
000054,1.473598,1.465188,0.008411,0.008333
000055,1.482015,1.473598,0.008417,0.008333
000056,1.490434,1.482015,0.008419,0.008333
000057,1.498846,1.490434,0.008411,0.008333
000058,1.507277,1.498846,0.008431,0.008333
000059,1.515683,1.507277,0.008406,0.008333
000060,1.524099,1.515683,0.008416,0.008333
000061,1.532539,1.524099,0.00844,0.008333
000062,1.540956,1.532539,0.008417,0.008333
000063,1.549372,1.540956,0.008416,0.008333
000064,1.557782,1.549372,0.00841,0.008333
000065,1.56619,1.557782,0.008408,0.008333
000066,1.574598,1.56619,0.008408,0.008333
000067,1.58302,1.574598,0.008422,0.008333
000068,1.591438,1.58302,0.008418,0.008333
000069,1.59985,1.591438,0.008413,0.008333
000070,1.608267,1.59985,0.008416,0.008333
000071,1.616678,1.608267,0.008411,0.008333
000072,1.625089,1.616678,0.008411,0.008333
000073,1.633515,1.625089,0.008426,0.008333
000074,1.641933,1.633515,0.008418,0.008333
000075,1.650345,1.641933,0.008411,0.008333
000076,1.658755,1.650345,0.008411,0.008333
000077,1.667187,1.658755,0.008432,0.008333
000078,1.6756,1.667187,0.008412,0.008333
000079,1.684021,1.6756,0.008421,0.008333
000080,1.692438,1.684021,0.008417,0.008333
000081,1.70085,1.692438,0.008413,0.008333
000082,1.709259,1.70085,0.008409,0.008333
000083,1.717697,1.709259,0.008438,0.008333
000084,1.726109,1.717697,0.008412,0.008333
000085,1.734539,1.726109,0.00843,0.008333
000086,1.742955,1.734539,0.008416,0.008333
000087,1.751371,1.742955,0.008416,0.008333
000088,1.759786,1.751371,0.008416,0.008333
000089,1.768198,1.759786,0.008412,0.008333
000090,1.776606,1.768198,0.008408,0.008333
000091,1.785031,1.776606,0.008425,0.008333
000092,1.793448,1.785031,0.008417,0.008333
000093,1.801857,1.793448,0.008409,0.008333
000094,1.810272,1.801857,0.008415,0.008333
000095,1.818686,1.810272,0.008415,0.008333
000096,1.827134,1.818686,0.008448,0.008333
000097,1.835566,1.827134,0.008431,0.008333
000098,1.843983,1.835566,0.008418,0.008333
000099,1.852394,1.843983,0.008411,0.008333
000100,1.860813,1.852394,0.008419,0.008333
000101,1.869227,1.860813,0.008413,0.008333
000102,1.877637,1.869227,0.00841,0.008333
000103,1.886052,1.877637,0.008415,0.008333
000104,1.894467,1.886052,0.008415,0.008333
000105,1.902879,1.894467,0.008412,0.008333
000106,1.911295,1.902879,0.008416,0.008333
000107,1.919708,1.911295,0.008413,0.008333
000108,1.928119,1.919708,0.008411,0.008333
000109,1.936546,1.928119,0.008427,0.008333
000110,1.944962,1.936546,0.008416,0.008333
000111,1.953378,1.944962,0.008416,0.008333
000112,1.961791,1.953378,0.008412,0.008333
000113,1.970203,1.961791,0.008413,0.008333
000114,1.978618,1.970203,0.008415,0.008333
000115,1.987073,1.978618,0.008455,0.008333
000116,1.995567,1.987073,0.008494,0.008333
000117,2.004038,1.995567,0.008471,0.008333
000118,2.01249,2.004038,0.008452,0.008333
000119,2.020954,2.01249,0.008464,0.008333
000120,2.029423,2.020954,0.008468,0.008333
000121,2.037911,2.029423,0.008489,0.008333
000122,2.046358,2.037911,0.008447,0.008333
000123,2.054781,2.046358,0.008423,0.008333
000124,2.063206,2.054781,0.008425,0.008333
000125,2.071633,2.063206,0.008427,0.008333
000126,2.080049,2.071633,0.008416,0.008333
000127,2.088479,2.080049,0.00843,0.008333
000128,2.096902,2.088479,0.008423,0.008333
000129,2.105322,2.096902,0.00842,0.008333
000130,2.113744,2.105322,0.008422,0.008333
000131,2.122162,2.113744,0.008418,0.008333
000132,2.130577,2.122162,0.008415,0.008333
000133,2.139009,2.130577,0.008431,0.008333
000134,2.14744,2.139009,0.008432,0.008333
000135,2.15587,2.14744,0.00843,0.008333
000136,2.164298,2.15587,0.008428,0.008333
000137,2.172764,2.164298,0.008466,0.008333
000138,2.181188,2.172764,0.008425,0.008333
000139,2.189627,2.181188,0.008438,0.008333
000140,2.198071,2.189627,0.008444,0.008333
000141,2.206503,2.198071,0.008432,0.008333
000142,2.214931,2.206503,0.008428,0.008333
000143,2.223361,2.214931,0.00843,0.008333
000144,2.231789,2.223361,0.008429,0.008333
000145,2.240223,2.231789,0.008434,0.008333
000146,2.248658,2.240223,0.008435,0.008333
000147,2.257133,2.248658,0.008475,0.008333
000148,2.265561,2.257133,0.008428,0.008333
000149,2.273988,2.265561,0.008427,0.008333
000150,2.282415,2.273988,0.008427,0.008333
000151,2.290859,2.282415,0.008445,0.008333
000152,2.299289,2.290859,0.00843,0.008333
000153,2.307718,2.299289,0.008429,0.008333
000154,2.316145,2.307718,0.008427,0.008333
000155,2.324577,2.316145,0.008432,0.008333
000156,2.333007,2.324577,0.008429,0.008333
000157,2.341442,2.333007,0.008435,0.008333
000158,2.349872,2.341442,0.00843,0.008333
000159,2.358299,2.349872,0.008427,0.008333
000160,2.366726,2.358299,0.008426,0.008333
000161,2.375154,2.366726,0.008429,0.008333
000162,2.383581,2.375154,0.008426,0.008333
000163,2.392016,2.383581,0.008435,0.008333
000164,2.400444,2.392016,0.008429,0.008333
000165,2.40887,2.400444,0.008425,0.008333
000166,2.417304,2.40887,0.008434,0.008333
000167,2.425734,2.417304,0.00843,0.008333
000168,2.43416,2.425734,0.008425,0.008333
000169,2.442595,2.43416,0.008436,0.008333
000170,2.451025,2.442595,0.008429,0.008333
000171,2.459448,2.451025,0.008423,0.008333
000172,2.467873,2.459448,0.008425,0.008333
000173,2.476298,2.467873,0.008425,0.008333
000174,2.484749,2.476298,0.008451,0.008333
000175,2.493195,2.484749,0.008446,0.008333
000176,2.501633,2.493195,0.008438,0.008333
000177,2.510063,2.501633,0.00843,0.008333
000178,2.518502,2.510063,0.00844,0.008333
000179,2.526935,2.518502,0.008432,0.008333
000180,2.535366,2.526935,0.008431,0.008333
000181,2.543812,2.535366,0.008446,0.008333
000182,2.552246,2.543812,0.008435,0.008333
000183,2.560673,2.552246,0.008426,0.008333
000184,2.569129,2.560673,0.008456,0.008333
000185,2.577554,2.569129,0.008425,0.008333
000186,2.585983,2.577554,0.008429,0.008333
000187,2.594425,2.585983,0.008442,0.008333
000188,2.602857,2.594425,0.008432,0.008333
000189,2.611285,2.602857,0.008428,0.008333
000190,2.619712,2.611285,0.008427,0.008333
000191,2.62814,2.619712,0.008428,0.008333
000192,2.636566,2.62814,0.008425,0.008333
