cycle,sec,last,dt,sdt
000000,1.005986,0.997481,0.008505,0.000171
000001,1.014241,1.005986,0.008255,-0.000078
000002,1.0227,1.014241,0.008459,0.000125
000003,1.03093,1.0227,0.00823,-0.000104
000004,1.039386,1.03093,0.008456,0.000123
000005,1.047614,1.039386,0.008228,-0.000106
000006,1.056068,1.047614,0.008454,0.000121
000007,1.064304,1.056068,0.008236,-0.000097
000008,1.072757,1.064304,0.008454,0.00012
000009,1.080986,1.072757,0.008229,-0.000104
000010,1.08945,1.080986,0.008464,0.000131
000011,1.097631,1.08945,0.008181,-0.000152
000012,1.106089,1.097631,0.008458,0.000124
000013,1.114271,1.106089,0.008183,-0.000151
000014,1.122728,1.114271,0.008457,0.000124
000015,1.130904,1.122728,0.008176,-0.000158
000016,1.139364,1.130904,0.00846,0.000127
000017,1.14754,1.139364,0.008176,-0.000157
000018,1.156007,1.14754,0.008466,0.000133
000019,1.164187,1.156007,0.00818,-0.000153
000020,1.172648,1.164187,0.008461,0.000128
000021,1.180825,1.172648,0.008177,-0.000157
000022,1.189282,1.180825,0.008458,0.000125
000023,1.197483,1.189282,0.008201,-0.000133
000024,1.205937,1.197483,0.008454,0.000121
000025,1.214145,1.205937,0.008209,-0.000125
000026,1.222593,1.214145,0.008447,0.000114
000027,1.230799,1.222593,0.008206,-0.000127
000028,1.239248,1.230799,0.008449,0.000115
000029,1.24745,1.239248,0.008203,-0.000131
000030,1.255899,1.24745,0.008449,0.000115
000031,1.264116,1.255899,0.008217,-0.000116
000032,1.272556,1.264116,0.00844,0.000106
000033,1.280774,1.272556,0.008218,-0.000115
000034,1.289222,1.280774,0.008448,0.000115
000035,1.297444,1.289222,0.008223,-0.000111
000036,1.305877,1.297444,0.008433,0.0001
000037,1.31411,1.305877,0.008233,-0.000101
000038,1.322531,1.31411,0.008422,0.000088
000039,1.330763,1.322531,0.008232,-0.000101
000040,1.339189,1.330763,0.008425,0.000092
000041,1.347411,1.339189,0.008222,-0.000111
000042,1.355837,1.347411,0.008426,0.000093
000043,1.364071,1.355837,0.008234,-0.000099
000044,1.372521,1.364071,0.008451,0.000117
000045,1.380723,1.372521,0.008202,-0.000131
000046,1.389175,1.380723,0.008452,0.000119
000047,1.397381,1.389175,0.008206,-0.000127
000048,1.405826,1.397381,0.008445,0.000111
000049,1.414046,1.405826,0.00822,-0.000113
000050,1.422485,1.414046,0.008439,0.000105
000051,1.430699,1.422485,0.008214,-0.000119
000052,1.43914,1.430699,0.008441,0.000108
000053,1.447351,1.43914,0.008211,-0.000122
000054,1.455788,1.447351,0.008437,0.000104
000055,1.464016,1.455788,0.008228,-0.000105
000056,1.472446,1.464016,0.00843,0.000096
000057,1.480666,1.472446,0.00822,-0.000113
000058,1.489093,1.480666,0.008427,0.000094
000059,1.497328,1.489093,0.008235,-0.000098
000060,1.505746,1.497328,0.008418,0.000085
000061,1.513994,1.505746,0.008248,-0.000086
000062,1.522403,1.513994,0.00841,0.000076
000063,1.530648,1.522403,0.008245,-0.000088
000064,1.539051,1.530648,0.008403,0.000069
000065,1.547296,1.539051,0.008245,-0.000089
000066,1.555702,1.547296,0.008407,0.000073
000067,1.563954,1.555702,0.008251,-0.000082
000068,1.572353,1.563954,0.008399,0.000066
000069,1.580609,1.572353,0.008255,-0.000078
