i,i+1,diff
0,1,162080
1,2,20789357
2,3,161034
3,4,160185
4,5,160510
5,6,159157
6,7,161082
7,8,161331
8,9,159732
9,10,159801
10,11,160393
11,12,160124
12,13,159695
13,14,159670
14,15,157724
15,16,159192
16,17,162027
17,18,160319
18,19,158720
19,20,159223
20,21,159270
21,22,192290
22,23,158959
23,24,159549
24,25,159241
25,26,160409
26,27,163334
27,28,159532
28,29,159952
29,30,160467
30,31,161468
31,32,161011
32,33,160524
33,34,159637
34,35,159884
35,36,160836
36,37,159977
37,38,160872
38,39,159850
39,40,161432
40,41,161776
41,42,191633
42,43,160726
43,44,159718
44,45,159454
45,46,158961
46,47,160522
47,48,158374
48,49,159538
49,50,159258
50,51,158550
51,52,159043
52,53,161045
53,54,163116
54,55,168140
55,56,159917
56,57,160150
57,58,159488
58,59,158243
59,60,159135
60,61,166155
61,62,187571
62,63,162465
63,64,162406
64,65,160614
65,66,158924
66,67,165851
67,68,163138
68,69,163238
69,70,164306
70,71,200587
71,72,187196
72,73,220147
73,74,181823
74,75,188427
75,76,166585
76,77,161120
77,78,159940
78,79,160479
79,80,159695
80,81,168329
81,82,183215
82,83,160874
83,84,158049
84,85,158694
85,86,161119
86,87,163677
87,88,157171
88,89,156931
89,90,158906
90,91,160229
91,92,159323
92,93,159232
93,94,160473
94,95,161931
95,96,159235
96,97,161126
97,98,159155
98,99,158216
99,100,159828
100,101,161235
101,102,191809
102,103,161113
103,104,158115
104,105,160284
105,106,159849
106,107,162734
107,108,160676
108,109,160401
109,110,159405
110,111,160225
111,112,161344
112,113,157908
113,114,157940
114,115,160346
115,116,159923
116,117,162635
117,118,158805
118,119,158583
119,120,158547
120,121,160571
121,122,197943
122,123,160340
123,124,160415
124,125,160533
125,126,159315
126,127,159945
127,128,158120
128,129,158477
129,130,158096
130,131,159312
131,132,159294
132,133,160224
133,134,160732
134,135,160041
135,136,158253
136,137,159568
137,138,160120
138,139,160134
139,140,158865
140,141,158603
141,142,192635
142,143,160856
143,144,158622
144,145,159120
145,146,159472
146,147,161461
147,148,158178
148,149,158536
149,150,160068
150,151,161360
151,152,160900
152,153,160521
153,154,160785
154,155,161281
155,156,160399
156,157,161307
157,158,159641
158,159,159808
159,160,159571
160,161,159095
161,162,195726
162,163,161657
163,164,162838
164,165,160735
165,166,159691
166,167,162548
167,168,159647
168,169,159304
169,170,159262
170,171,159564
171,172,157942
172,173,159067
173,174,159443
174,175,158789
175,176,158364
176,177,157402
177,178,157347
178,179,157656
179,180,156643
180,181,160518
181,182,191829
182,183,158717
183,184,158708
184,185,158880
185,186,159550
186,187,161209
187,188,160644
188,189,160140
189,190,160384
190,191,161050
191,192,159696
192,193,159948
193,194,158750
194,195,159495
195,196,159275
196,197,159406
197,198,158696
198,199,158845
199,200,158761
200,201,158521
201,202,190740
202,203,160830
203,204,159548
204,205,159319
205,206,158807
206,207,160825
207,208,158994
208,209,160637
209,210,158016
210,211,159894
211,212,160221
212,213,159940
213,214,159091
214,215,160872
215,216,158926
216,217,161465
217,218,159052
218,219,160055
219,220,159214
220,221,164915
221,222,188017
222,223,160199
223,224,160389
224,225,158301
225,226,158267
226,227,159852
227,228,157702
228,229,158704
229,230,156684
230,231,159183
231,232,162644
232,233,160940
233,234,159214
234,235,158140
235,236,157049
236,237,160674
237,238,158664
238,239,159454
239,240,158610
240,241,158625
241,242,193094
242,243,161056
243,244,158341
244,245,158460
245,246,158533
246,247,158075
247,248,157621
248,249,160322
249,250,158667
250,251,160965
251,252,159474
252,253,158926
253,254,158958
254,255,159336
255,256,158894
256,257,160413
257,258,157676
258,259,157765
259,260,158000
260,261,161487
261,262,192806
262,263,159067
263,264,158276
264,265,158864
265,266,159109
266,267,160882
267,268,159202
268,269,158904
269,270,158460
270,271,160071
271,272,159412
272,273,159767
273,274,159523
274,275,159074
275,276,159534
276,277,161371
277,278,157295
278,279,158993
279,280,159880
280,281,159854
281,282,194916
282,283,159630
283,284,159343
284,285,158979
285,286,159486
286,287,159003
287,288,157878
288,289,158085
289,290,156753
290,291,157863
291,292,159572
292,293,159536
293,294,159085
294,295,158079
295,296,157456
296,297,161081
297,298,159550
298,299,159241
299,300,157161
300,301,161187
301,302,192437
302,303,159443
303,304,158802
304,305,159270
305,306,159276
306,307,160580
307,308,158151
308,309,159140
309,310,158923
310,311,160113
311,312,159693
312,313,158747
313,314,158374
314,315,159447
315,316,159444
316,317,160502
317,318,157806
318,319,158323
319,320,157687
320,321,158448
321,322,194543
322,323,161616
323,324,158778
324,325,159465
325,326,159545
326,327,162536
327,328,159914
328,329,160157
329,330,159015
330,331,159249
331,332,158049
332,333,158291
333,334,158018
334,335,157404
335,336,159281
336,337,161652
337,338,158390
338,339,158924
339,340,158625
340,341,158947
341,342,192637
342,343,159390
343,344,158892
344,345,158571
345,346,157796
346,347,159255
347,348,157425
348,349,158308
349,350,160367
350,351,158332
351,352,160372
352,353,158802
353,354,158521
354,355,158357
355,356,159745
356,357,161394
357,358,158634
358,359,159247
359,360,159964
360,361,161721
361,362,193894
362,363,160192
363,364,157602
364,365,157727
365,366,157539
366,367,160437
367,368,159203
368,369,158630
369,370,159133
370,371,159835
371,372,159166
372,373,159172
373,374,159976
374,375,160530
375,376,159147
376,377,159924
377,378,159567
378,379,159466
379,380,157705
380,381,157092
381,382,191750
382,383,162658
383,384,158160
384,385,158665
385,386,157865
386,387,159949
387,388,158742
388,389,158855
389,390,157842
390,391,159899
391,392,159637
392,393,158657
393,394,158426
394,395,159107
395,396,158190
396,397,161218
397,398,157596
398,399,158819
399,400,157636
400,401,158092
401,402,195001
402,403,163356
403,404,161616
404,405,159288
405,406,157606
406,407,160444
407,408,156827
408,409,157963
409,410,158946
410,411,159758
411,412,158511
412,413,159163
