i,time (s),dt
2,1.020660162,0.008327
3,1.028989792,0.00833
4,1.037321806,0.008332
5,1.045655012,0.008333
6,1.053988218,0.008333
7,1.062320948,0.008333
8,1.070654392,0.008333
9,1.078989029,0.008335
10,1.087323189,0.008334
11,1.095653057,0.00833
12,1.104002476,0.008349
13,1.112311602,0.008309
14,1.120643854,0.008332
15,1.128979445,0.008336
16,1.137311697,0.008332
17,1.145640135,0.008328
18,1.153972387,0.008332
19,1.162307739,0.008335
20,1.170639753,0.008332
21,1.178972483,0.008333
22,1.187305212,0.008333
23,1.195637941,0.008333
24,1.203972578,0.008335
25,1.212317944,0.008345
26,1.220649719,0.008332
27,1.228983641,0.008334
28,1.237319708,0.008336
29,1.245645761,0.008326
30,1.253978491,0.008333
31,1.262312651,0.008334
32,1.270644426,0.008332
33,1.278977156,0.008333
34,1.287311077,0.008334
35,1.295643091,0.008332
36,1.303976297,0.008333
37,1.312316656,0.00834
38,1.320649862,0.008333
39,1.328983545,0.008334
40,1.337318182,0.008335
41,1.345645428,0.008327
42,1.353976727,0.008331
43,1.36231184,0.008335
44,1.370642662,0.008331
45,1.378977776,0.008335
46,1.387315989,0.008338
47,1.395644188,0.008328
48,1.403996706,0.008353
49,1.412313938,0.008317
50,1.42064929,0.008335
51,1.428986788,0.008337
52,1.437322617,0.008336
53,1.445645809,0.008323
54,1.453977585,0.008332
55,1.462310314,0.008333
56,1.470643997,0.008334
57,1.478978395,0.008334
58,1.48731184,0.008333
59,1.4956429,0.008331
60,1.503976107,0.008333
61,1.512321234,0.008345
62,1.520655632,0.008334
63,1.528985023,0.008329
64,1.537325621,0.008341
65,1.545651913,0.008326
66,1.553979874,0.008328
67,1.562311411,0.008332
68,1.570655346,0.008344
69,1.578985691,0.00833
70,1.587315321,0.00833
71,1.595645428,0.00833
72,1.60397768,0.008332
73,1.612298489,0.008321
74,1.620624781,0.008326
75,1.628952742,0.008328
76,1.637286663,0.008334
77,1.645622492,0.008336
78,1.653955936,0.008333
79,1.662288904,0.008333
80,1.67062211,0.008333
81,1.678953648,0.008332
82,1.687285185,0.008332
83,1.695618868,0.008334
84,1.703953743,0.008335
85,1.712325335,0.008372
86,1.72062254,0.008297
87,1.728952885,0.00833
88,1.737285614,0.008333
89,1.745620966,0.008335
90,1.753955364,0.008334
91,1.762289524,0.008334
92,1.770621777,0.008332
93,1.778953075,0.008331
94,1.787286758,0.008334
95,1.795617104,0.00833
96,1.803950787,0.008334
97,1.812305689,0.008355
98,1.820622206,0.008317
99,1.828953028,0.008331
100,1.837285519,0.008332
101,1.845621586,0.008336
102,1.853954792,0.008333
103,1.862288713,0.008334
104,1.870620012,0.008331
105,1.878951788,0.008332
106,1.887285709,0.008334
107,1.895617485,0.008332
108,1.903950453,0.008333
109,1.912302971,0.008353
110,1.920622349,0.008319
111,1.928955317,0.008333
112,1.937286615,0.008331
113,1.945621729,0.008335
114,1.95395565,0.008334
115,1.962288857,0.008333
116,1.970620871,0.008332
117,1.978952646,0.008332
118,1.98728776,0.008335
119,1.995617867,0.00833
120,2.003952503,0.008335
121,2.012304544,0.008352
122,2.020629883,0.008325
123,2.028955936,0.008326
124,2.037304163,0.008348
125,2.045621395,0.008317
126,2.053972244,0.008351
127,2.062289476,0.008317
128,2.070631266,0.008342
129,2.078956842,0.008326
130,2.087300301,0.008343
131,2.095627546,0.008327
132,2.103967428,0.00834
133,2.112299681,0.008332
134,2.120628595,0.008329
135,2.128956079,0.008327
136,2.137291431,0.008335
137,2.145621061,0.00833
138,2.153956652,0.008336
139,2.162288666,0.008332
140,2.170618773,0.00833
141,2.178951025,0.008332
142,2.187286139,0.008335
143,2.195617914,0.008332
144,2.203950405,0.008332
145,2.212301493,0.008351
146,2.220623016,0.008322
147,2.228954792,0.008332
148,2.237292051,0.008337
149,2.245665312,0.008373
150,2.253954172,0.008289
151,2.262284517,0.00833
152,2.270616531,0.008332
153,2.27895093,0.008334
154,2.287285328,0.008334
155,2.295618057,0.008333
156,2.303949594,0.008332
157,2.312319517,0.00837
158,2.320643425,0.008324
159,2.328973293,0.00833
160,2.337306976,0.008334
161,2.345642328,0.008335
162,2.35397625,0.008334
163,2.362310648,0.008334
164,2.370643854,0.008333
165,2.378973722,0.00833
166,2.387307167,0.008333
167,2.395638227,0.008331
168,2.403971434,0.008333
169,2.412331104,0.00836
170,2.420656681,0.008326
171,2.428985357,0.008329
172,2.437314987,0.00833
173,2.445648193,0.008333
174,2.453981161,0.008333
175,2.462316275,0.008335
176,2.470648527,0.008332
177,2.478978634,0.00833
178,2.487313271,0.008335
179,2.495645046,0.008332
180,2.503976583,0.008332
181,2.512335062,0.008358
182,2.520650864,0.008316
183,2.52898407,0.008333
184,2.537325859,0.008342
185,2.545641899,0.008316
186,2.553975821,0.008334
187,2.562315702,0.00834
188,2.570650101,0.008334
189,2.578974962,0.008325
190,2.587308168,0.008333
191,2.595654249,0.008346
192,2.603983402,0.008329
193,2.612332821,0.008349
194,2.620627403,0.008295
195,2.628961325,0.008334
196,2.637300014,0.008339
197,2.645632505,0.008332
198,2.653963804,0.008331
199,2.662292719,0.008329
200,2.670620918,0.008328
201,2.678951502,0.008331
202,2.687285185,0.008334
203,2.695616245,0.008331
204,2.70395112,0.008335
205,2.712302208,0.008351
206,2.720622063,0.00832
207,2.728955269,0.008333
208,2.737292051,0.008337
209,2.745622635,0.008331
210,2.753952742,0.00833
211,2.762284279,0.008332
212,2.770617008,0.008333
213,2.77895093,0.008334
214,2.787283897,0.008333
215,2.795616388,0.008332
216,2.803951025,0.008335
217,2.812301159,0.00835
218,2.820621729,0.008321
219,2.828952074,0.00833
220,2.837285519,0.008333
221,2.845618725,0.008333
222,2.853954554,0.008336
223,2.862289429,0.008335
224,2.87062192,0.008332
225,2.87895155,0.00833
226,2.887284994,0.008333
227,2.89561677,0.008332
228,2.903950691,0.008334
229,2.912302256,0.008352
230,2.920623302,0.008321
231,2.928952694,0.008329
232,2.937285662,0.008333
233,2.945620775,0.008335
234,2.953954935,0.008334
235,2.962290049,0.008335
236,2.97062254,0.008332
237,2.978951931,0.008329
238,2.987285137,0.008333
239,2.995618105,0.008333
240,3.003951311,0.008333
241,3.012304068,0.008353
242,3.020629883,0.008326
243,3.02895546,0.008326
244,3.037303209,0.008348
245,3.045622349,0.008319
246,3.053970814,0.008348
247,3.062291384,0.008321
248,3.070628881,0.008337
249,3.078958988,0.00833
250,3.087336302,0.008377
251,3.095626354,0.00829
252,3.103964329,0.008338
253,3.112298489,0.008334
254,3.120633364,0.008335
255,3.128962517,0.008329
256,3.137298822,0.008336
257,3.14562273,0.008324
258,3.153955698,0.008333
259,3.162287951,0.008332
260,3.170621872,0.008334
261,3.178954601,0.008333
262,3.187286139,0.008332
263,3.195619106,0.008333
264,3.203952551,0.008333
265,3.212302208,0.00835
266,3.220621824,0.00832
267,3.228951454,0.00833
268,3.237284899,0.008333
269,3.245621204,0.008336
270,3.253953695,0.008332
271,3.262288094,0.008334
272,3.270620584,0.008332
273,3.278952122,0.008332
274,3.287285566,0.008333
275,3.295617104,0.008332
276,3.303951025,0.008334
277,3.312300682,0.00835
278,3.32063961,0.008339
279,3.328969002,0.008329
280,3.33730197,0.008333
281,3.345637083,0.008335
282,3.353970528,0.008333
283,3.362305164,0.008335
284,3.370636225,0.008331
285,3.378968239,0.008332
286,3.387310505,0.008342
287,3.395643711,0.008333
288,3.403984785,0.008341
289,3.412327528,0.008343
290,3.420650005,0.008322
291,3.428982973,0.008333
292,3.43731904,0.008336
293,3.44564271,0.008324
294,3.453974247,0.008332
295,3.462309837,0.008336
296,3.470639944,0.00833
297,3.478970766,0.008331
298,3.487304211,0.008333
299,3.495636463,0.008332
300,3.503969908,0.008333
301,3.512316704,0.008347
302,3.520649433,0.008333
303,3.528980255,0.008331
304,3.537318945,0.008339
305,3.545641661,0.008323
306,3.553976059,0.008334
307,3.562317133,0.008341
308,3.570649862,0.008333
309,3.578974724,0.008325
310,3.587317467,0.008343
311,3.595653296,0.008336
312,3.60398078,0.008327
313,3.612321138,0.00834
314,3.620692015,0.008371
315,3.62898016,0.008288
316,3.637318611,0.008338
317,3.645654678,0.008336
318,3.653983593,0.008329
319,3.662312031,0.008328
320,3.670650721,0.008339
321,3.678987026,0.008336
322,3.687314749,0.008328
323,3.695641994,0.008327
324,3.703958511,0.008317
325,3.712301254,0.008343
326,3.720622778,0.008322
327,3.728952408,0.00833
328,3.737289906,0.008337
329,3.745619059,0.008329
330,3.753952265,0.008333
331,3.762283564,0.008331
332,3.770615339,0.008332
333,3.778950691,0.008335
334,3.787283182,0.008332
335,3.795619488,0.008336
336,3.803951502,0.008332
337,3.812302351,0.008351
338,3.820623159,0.008321
339,3.828953028,0.00833
340,3.837283373,0.00833
341,3.845620871,0.008337
342,3.853955269,0.008334
343,3.862288713,0.008333
344,3.87062192,0.008333
345,3.878954172,0.008332
346,3.887285709,0.008332
347,3.895618439,0.008333
348,3.903950691,0.008332
349,3.912300348,0.00835
350,3.920621872,0.008322
351,3.928965092,0.008343
352,3.937288284,0.008323
353,3.945621252,0.008333
354,3.953955889,0.008335
355,3.962288857,0.008333
356,3.970622063,0.008333
357,3.9789536,0.008332
358,3.987284184,0.008331
359,3.995617628,0.008333
360,4.003952026,0.008334
361,4.012305021,0.008353
362,4.02063036,0.008325
363,4.028955221,0.008325
364,4.037302732,0.008348
365,4.045623779,0.008321
366,4.053965569,0.008342
367,4.062291622,0.008326
368,4.070631266,0.00834
369,4.078958511,0.008327
370,4.087298632,0.00834
371,4.095626831,0.008328
372,4.103961706,0.008335
373,4.112304449,0.008343
374,4.120627403,0.008323
375,4.128952503,0.008325
376,4.137284756,0.008332
377,4.1456213,0.008337
378,4.153955936,0.008335
379,4.162289619,0.008334
380,4.17062211,0.008332
381,4.178953648,0.008332
382,4.18728447,0.008331
