82147:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 2 @ sec=1.020660162, dt=0.008327
82148:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 3 @ sec=1.028989792, dt=0.008330
82149:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 4 @ sec=1.037321806, dt=0.008332
82150:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 5 @ sec=1.045655012, dt=0.008333
82151:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 6 @ sec=1.053988218, dt=0.008333
82152:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 7 @ sec=1.062320948, dt=0.008333
82153:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 8 @ sec=1.070654392, dt=0.008333
82154:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 9 @ sec=1.078989029, dt=0.008335
82155:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 10 @ sec=1.087323189, dt=0.008334
82156:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 11 @ sec=1.095653057, dt=0.008330
82157:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 12 @ sec=1.104002476, dt=0.008349
82163:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 13 @ sec=1.112311602, dt=0.008309
82164:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 14 @ sec=1.120643854, dt=0.008332
82165:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 15 @ sec=1.128979445, dt=0.008336
82166:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 16 @ sec=1.137311697, dt=0.008332
