i,time (ns)
1,85425
2,85165
3,94202
4,86203
5,83203
6,84091
7,77592
8,90573
9,80851
10,85795
11,77684
12,85573
13,117350
14,78425
15,83351
16,80202
17,80314
18,80481
19,79629
20,80499
21,75666
22,85092
23,75425
24,80165
25,80925
26,80980
27,80591
28,75573
29,85629
30,76166
31,81258
32,80221
33,16277723
34,80091
35,75795
36,82870
37,76184
38,82647
39,76610
40,79685
41,76480
42,79869
43,79684
44,79647
45,79462
46,76239
47,78980
48,82129
49,73184
50,82851
51,72962
52,78796
53,78055
54,78073
55,78185
56,73073
57,82202
58,16648626
59,85443
60,80073
61,81036
62,75203
63,78703
64,84980
65,76332
66,86054
67,76036
68,85518
69,75259
70,75888
71,88499
72,116832
73,85573
74,76111
75,85981
76,75444
77,76444
78,84999
79,76037
80,85387
81,76388
82,87036
83,15982894
84,80721
85,82813
86,77573
87,82332
88,80221
89,81684
90,79851
91,83999
92,85832
93,77554
94,86999
95,76018
96,85925
97,76555
98,77629
99,86406
100,76777
101,86277
102,75981
103,86128
104,76591
105,82184
106,113999
107,76407
108,16245816
109,77685
110,83721
111,77259
112,77184
113,79832
114,80888
115,80833
116,86055
117,80350
118,82129
119,77202
120,84870
121,77944
122,82388
123,82555
124,81313
125,82258
126,77388
127,86296
128,76907
129,82518
130,81592
131,82036
132,82813
133,16452406
134,86907
135,77869
136,82591
137,80073
138,82259
139,80610
140,77444
141,85628
142,77147
143,83332
144,79980
145,85610
146,80684
147,82407
148,82184
149,77573
150,87647
151,76388
152,87036
153,77258
154,81888
155,82314
156,84999
157,81981
158,16212909
159,87721
160,77629
161,81073
162,82777
163,80351
164,82573
165,77314
166,85184
167,77481
168,81462
169,88461
170,77610
171,88295
172,77758
173,82851
174,81684
175,77221
176,91851
177,77814
178,87314
179,77221
180,86610
181,77444
182,76777
183,16011115
184,77944
185,84277
186,117239
187,75665
188,69759
189,70814
190,77407
191,70629
192,78407
193,74332
194,73759
195,74203
196,73147
197,76092
198,76276
199,76239
200,75888
201,74814
202,71092
203,75239
204,74758
205,75203
206,75833
207,79110
208,15806247
209,76944
210,74629
211,79850
212,78129
213,79907
214,78296
215,78980
216,76925
217,74795
218,80221
219,74851
220,84665
221,74222
222,83554
223,110869
224,79685
225,80666
226,75740
227,82832
228,74907
229,82092
230,73370
231,77406
232,80092
233,81017
234,84443
235,75648
236,83592
237,80184
238,75611
239,80943
240,81369
241,80721
242,81092
243,79481
244,81036
245,75702
246,84777
247,75980
248,80906
249,78462
250,80388
251,78907
252,76129
253,84091
254,76388
255,81888
256,79092
257,16322222
258,76722
259,79610
260,79240
261,79740
262,80684
263,76814
264,82314
265,76332
266,79925
267,83333
268,76165
269,87017
270,79555
271,85869
272,82573
273,76888
